epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
85,9754.19,1.5895,1.22301,0.00156,0.5594,0.47092,0.48754,0.30304,1.55988,1.32147,0.00244,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,10049.6,1.58763,1.21906,0.00157,0.55697,0.47458,0.4877,0.303,1.55911,1.32289,0.00243,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,10348.2,1.58943,1.21632,0.00156,0.57462,0.46203,0.48743,0.30272,1.56054,1.32124,0.00244,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,10647.6,1.59323,1.21899,0.00157,0.56154,0.47213,0.48766,0.30287,1.55982,1.31874,0.00243,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,10942.4,1.58066,1.21071,0.00154,0.56909,0.4655,0.48767,0.30285,1.5599,1.32119,0.00243,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,11239.2,1.58491,1.21391,0.00157,0.56415,0.46887,0.48684,0.30202,1.55989,1.32222,0.00244,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,11488.5,1.54306,1.17401,0.00168,0.55224,0.46789,0.48162,0.29877,1.56579,1.32387,0.00245,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,11735.2,1.52319,1.14508,0.00166,0.55439,0.46691,0.48339,0.29939,1.56686,1.32409,0.00245,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,11981.3,1.51975,1.13471,0.00165,0.55775,0.4726,0.48623,0.30075,1.56738,1.31944,0.00245,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,12229.1,1.51823,1.131,0.00165,0.55964,0.46867,0.48574,0.30082,1.5675,1.31753,0.00245,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,12475.4,1.52115,1.12599,0.00164,0.55804,0.46864,0.48585,0.30119,1.56646,1.31747,0.00245,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,12722.8,1.52259,1.12829,0.00165,0.56102,0.46734,0.48467,0.30062,1.56851,1.31752,0.00245,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,12969.1,1.51584,1.12218,0.00164,0.55867,0.46913,0.48439,0.3001,1.56673,1.32044,0.00245,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,13214,1.50849,1.11464,0.00164,0.56129,0.46657,0.48471,0.30003,1.56829,1.31872,0.00245,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,13459.4,1.51341,1.1139,0.00163,0.5609,0.46594,0.48454,0.3003,1.56845,1.31919,0.00245,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,13707.3,1.5136,1.11302,0.00163,0.557,0.46753,0.48458,0.30001,1.56804,1.31809,0.00245,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
